Author, Basename, URL
BlockMen, invtweak, https://github.com/BlockMen/invtweak/
RacsoRhodes, travelpoints, https://github.com/RacsoRhodes/travelpoints/
GunshipPenguin, afkkick, https://github.com/GunshipPenguin/afkkick/
Semmett9, scaffolding, https://bitbucket.org/Infinatum/scaffolding/
fz72, fancy_elevator, https://github.com/fz72/elevator
cheapie, plasticbox, https://github.com/cheapie/plasticbox/
Don, mypaths, https://github.com/DonBatman/mypaths/
Mitroman, killer, https://github.com/Mitroman/killer/
jp, realclocks, https://forum.minetest.net/download/file.php?mode=view&id=2154
philipbenr, castles, https://github.com/Philipbenr/castles/
Krock, bitchange, https://github.com/SmallJoker/bitchange/
Argos, rotate, https://github.com/Rogier-5/minetest-mod-rotate/
Don, mywoodslopes, https://github.com/DonBatman/mywoodslopes/
Zeg9, zcg, https://github.com/Zeg9/minetest-zcg/
Bas080, plants, https://github.com/bas080/plants/
Bas080, vines, https://github.com/bas080/vines/
est31, kickall, https://github.com/est31/kickall/
mtmodder148, hydroponics, https://github.com/MT-Modder/hydroponics/
Don, cutepie, https://github.com/DonBatman/cutepie/
Bad_Command_, teleporter, https://github.com/Bad-Command/teleporter/
12Me21, morefoods, http://ompldr.org/vaWE5Yw/morefoods.zip
Mossmanikin, altertrunks, https://www.dropbox.com/s/hdr4ck4u2un10hx/altertrunks-0.1.6.zip
GJH105775, Marble_Blocks, http://dc737.4shared.com/download/ENDkqFDJba/init__1_.lua?tsid=20150225-012235-ef80c1be&lgfp=2000
Dan Duncombe, tbm, https://github.com/DanDuncombe/tbm_mod/
sfan5, nuke, https://dl.dropboxusercontent.com/u/30267315/Minetest/nuke1.6.zip
Wuzzy, slimenodes, https://repo.or.cz/w/minetest_slimenodes/
Calinou, gauges, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/gauges.zip
Wuzzy, teletool, https://repo.or.cz/w/minetest_teletool/
indriApollo, thecube, https://github.com/indriApollo/thecube/
CraigyDavi, bacon, https://github.com/CraigyDavi/bacon/
paramat, noise23, https://github.com/paramat/noise23/
Wuzzy, pep, https://repo.or.cz/w/minetest_pep/
paramat, mesecar, https://github.com/paramat/mesecar/
maikerumine, badplayer, https://github.com/maikerumine/badplayer/
Wuzzy, playermodel, https://repo.or.cz/w/minetest_playermodel/
Wuzzy, basic_hud, https://repo.or.cz/w/minetest_basic_hud/
Wuzzy, ltool, https://repo.or.cz/w/minetest_ltool/
DevynCJohnson, nuclear_material, https://github.com/DevynCJohnson/DCJ-Minetest-Mods
PilzAdam, signs, https://github.com/PilzAdam/signs/
prestidigitator, luacmd, https://github.com/prestidigitator/minetest-mod-luacmd/
Jeija, weather, https://github.com/Jeija/minetest-mod-weather/
Excalibur Zero, moretechnictools, https://github.com/ExcaliburZero/moretechnictools/
mtmodder148, misc_stuff, https://github.com/MT-Modder/misc_stuff/
0gb.us, chests_0gb_us, http://0gb.us/minetest/download.php?plugin=chests_0gb_us-0.0
YoukaiCountry, startlocation, https://github.com/nbcwell/startlocation/
